user_id,course_id,rating,reviewcount,skills,level,certificatetype,duration,crediteligibility
47,24,1.94,50,Skill16,Beginner,None,3-6 Months,False
56,12,2.54,1,Skill24,Advanced,None,2-4 Weeks,True
73,4,1.6,55,Skill28,Intermediate,None,1-2 Months,True
17,4,1.15,49,Skill14,Beginner,None,3-6 Months,True
34,29,2.2,43,Skill6,Advanced,None,2-4 Weeks,True
77,7,4.16,1,Skill43,Advanced,None,2-4 Weeks,True
38,25,4.74,41,Skill10,Advanced,Certificate,2-4 Weeks,False
43,36,1.38,89,Skill11,Advanced,Certificate,3-6 Months,False
11,3,1.44,19,Skill9,Intermediate,Certificate,2-4 Weeks,False
80,28,3.71,41,Skill38,Advanced,Certificate,1-2 Weeks,True
64,49,1.23,53,Skill9,Intermediate,None,2-4 Weeks,False
10,16,1.52,29,Skill6,Intermediate,Certificate,1-2 Months,False
25,11,3.38,4,Skill23,Intermediate,None,2-4 Weeks,True
7,45,5.0,71,Skill25,Intermediate,Certificate,2-4 Weeks,True
35,25,4.39,21,Skill41,Intermediate,Certificate,1-2 Weeks,False
30,31,4.05,64,Skill42,Intermediate,Certificate,1-2 Weeks,False
13,25,4.46,26,Skill30,Beginner,Certificate,1-2 Weeks,False
19,50,3.82,77,Skill3,Intermediate,None,1-2 Months,True
59,10,2.73,53,Skill28,Advanced,None,1-2 Weeks,True
91,47,1.32,30,Skill31,Beginner,None,3-6 Months,False
73,15,2.52,76,Skill47,Beginner,None,1-2 Weeks,True
72,37,1.16,72,Skill23,Intermediate,Certificate,2-4 Weeks,False
85,2,2.09,50,Skill5,Advanced,Certificate,1-2 Months,True
23,48,3.8,30,Skill22,Intermediate,Certificate,1-2 Months,False
57,27,1.66,61,Skill22,Advanced,Certificate,1-2 Months,True
87,7,4.21,3,Skill24,Intermediate,Certificate,1-2 Months,True
58,44,3.93,60,Skill44,Advanced,Certificate,1-2 Months,True
39,14,1.75,41,Skill29,Beginner,None,1-2 Weeks,True
55,6,4.7,60,Skill4,Beginner,None,3-6 Months,False
6,2,3.11,9,Skill7,Intermediate,None,1-2 Months,False
13,4,2.85,58,Skill32,Intermediate,None,3-6 Months,True
93,15,2.52,21,Skill1,Intermediate,None,1-2 Weeks,False
22,22,4.85,16,Skill20,Beginner,None,1-2 Months,True
59,9,4.56,66,Skill39,Beginner,None,1-2 Months,True
62,18,1.86,65,Skill4,Advanced,Certificate,2-4 Weeks,True
38,11,4.06,2,Skill33,Beginner,Certificate,2-4 Weeks,True
35,24,4.19,77,Skill48,Beginner,Certificate,1-2 Weeks,True
36,31,1.21,7,Skill20,Beginner,Certificate,2-4 Weeks,True
24,21,2.36,49,Skill17,Advanced,Certificate,2-4 Weeks,False
74,2,4.49,85,Skill46,Intermediate,Certificate,2-4 Weeks,False
25,9,2.41,69,Skill7,Beginner,Certificate,1-2 Weeks,True
61,49,4.44,6,Skill28,Intermediate,Certificate,1-2 Weeks,False
92,43,1.95,86,Skill44,Intermediate,Certificate,1-2 Months,False
55,39,2.76,85,Skill30,Beginner,Certificate,1-2 Weeks,False
54,32,4.19,21,Skill32,Intermediate,None,1-2 Weeks,True
84,28,4.57,5,Skill6,Advanced,Certificate,1-2 Weeks,True
33,16,1.69,18,Skill47,Advanced,Certificate,1-2 Weeks,False
64,28,2.1,12,Skill33,Intermediate,None,1-2 Months,True
5,21,2.97,26,Skill20,Advanced,None,1-2 Months,False
82,7,1.78,93,Skill10,Advanced,None,3-6 Months,False
40,36,3.42,16,Skill35,Beginner,Certificate,1-2 Weeks,False
94,35,1.57,10,Skill24,Advanced,None,3-6 Months,True
48,37,2.84,11,Skill26,Advanced,None,1-2 Weeks,False
79,12,4.37,68,Skill8,Intermediate,Certificate,2-4 Weeks,True
14,21,1.3,23,Skill11,Advanced,None,2-4 Weeks,True
43,18,3.45,74,Skill8,Beginner,None,2-4 Weeks,False
67,40,2.35,77,Skill36,Intermediate,Certificate,2-4 Weeks,False
41,34,2.19,96,Skill28,Intermediate,None,1-2 Weeks,True
69,25,2.22,92,Skill0,Beginner,Certificate,3-6 Months,True
88,50,1.92,20,Skill25,Advanced,None,2-4 Weeks,True
45,40,2.85,42,Skill21,Advanced,None,1-2 Weeks,False
33,13,3.27,95,Skill24,Intermediate,Certificate,3-6 Months,True
41,22,4.04,32,Skill11,Intermediate,None,2-4 Weeks,True
35,41,1.48,55,Skill31,Intermediate,Certificate,1-2 Months,False
1,9,2.04,52,Skill36,Intermediate,None,3-6 Months,True
75,18,1.79,82,Skill13,Beginner,Certificate,1-2 Weeks,False
13,31,4.81,35,Skill28,Advanced,Certificate,3-6 Months,False
28,44,4.9,48,Skill4,Intermediate,Certificate,1-2 Months,True
10,31,4.43,76,Skill46,Intermediate,None,3-6 Months,True
92,42,2.03,87,Skill0,Intermediate,None,3-6 Months,True
81,47,1.54,17,Skill20,Intermediate,None,1-2 Months,True
95,37,1.96,84,Skill38,Intermediate,None,1-2 Months,False
62,32,3.23,19,Skill24,Advanced,None,1-2 Weeks,True
40,36,3.65,7,Skill45,Intermediate,None,3-6 Months,True
44,35,2.31,26,Skill7,Advanced,None,1-2 Weeks,False
1,42,3.78,9,Skill12,Intermediate,Certificate,1-2 Weeks,True
25,44,2.94,28,Skill42,Intermediate,None,2-4 Weeks,True
94,37,4.94,40,Skill27,Advanced,Certificate,2-4 Weeks,False
48,39,2.03,19,Skill25,Intermediate,None,3-6 Months,True
55,43,1.43,40,Skill22,Intermediate,None,3-6 Months,True
50,12,4.57,50,Skill14,Advanced,Certificate,1-2 Weeks,False
6,49,2.26,88,Skill28,Beginner,Certificate,3-6 Months,False
47,32,1.33,20,Skill46,Advanced,Certificate,2-4 Weeks,False
64,48,2.05,32,Skill44,Beginner,None,1-2 Months,True
33,29,1.81,73,Skill39,Intermediate,Certificate,2-4 Weeks,True
5,13,3.75,74,Skill28,Intermediate,Certificate,3-6 Months,True
57,19,4.41,74,Skill27,Beginner,Certificate,1-2 Months,True
92,41,2.72,40,Skill18,Beginner,None,2-4 Weeks,False
25,5,1.26,40,Skill22,Advanced,Certificate,2-4 Weeks,False
7,11,1.63,32,Skill45,Advanced,Certificate,1-2 Months,False
17,3,1.81,48,Skill12,Beginner,Certificate,1-2 Weeks,False
47,8,2.26,25,Skill7,Advanced,Certificate,2-4 Weeks,False
8,43,4.73,19,Skill28,Beginner,Certificate,3-6 Months,True
12,9,4.07,67,Skill17,Intermediate,Certificate,1-2 Months,True
74,37,3.77,18,Skill37,Intermediate,None,3-6 Months,False
24,1,1.57,69,Skill39,Advanced,None,3-6 Months,True
99,36,2.26,39,Skill13,Beginner,Certificate,2-4 Weeks,True
49,1,2.1,92,Skill32,Advanced,Certificate,2-4 Weeks,False
19,8,1.42,28,Skill5,Beginner,Certificate,1-2 Months,False
7,36,1.93,66,Skill43,Advanced,Certificate,1-2 Months,False
77,49,4.54,12,Skill37,Intermediate,None,1-2 Weeks,True
10,22,3.62,78,Skill42,Beginner,Certificate,3-6 Months,True
54,33,1.52,30,Skill31,Beginner,Certificate,1-2 Months,True
41,49,1.9,1,Skill19,Beginner,None,1-2 Weeks,True
86,4,1.12,99,Skill36,Advanced,None,1-2 Months,False
88,23,1.71,42,Skill8,Intermediate,Certificate,1-2 Months,True
87,6,1.57,36,Skill40,Beginner,None,3-6 Months,False
27,39,4.86,37,Skill30,Beginner,Certificate,2-4 Weeks,False
65,33,2.85,61,Skill40,Intermediate,None,1-2 Months,False
56,28,2.6,81,Skill21,Advanced,Certificate,2-4 Weeks,True
65,12,3.89,60,Skill10,Intermediate,Certificate,2-4 Weeks,True
8,31,3.92,49,Skill10,Beginner,None,2-4 Weeks,True
86,2,4.35,79,Skill27,Beginner,None,3-6 Months,False
34,2,1.14,50,Skill1,Advanced,None,2-4 Weeks,False
8,33,1.99,62,Skill42,Advanced,Certificate,1-2 Months,True
13,18,1.17,75,Skill25,Advanced,None,1-2 Weeks,False
14,20,4.79,63,Skill11,Advanced,None,1-2 Months,True
54,37,2.45,94,Skill48,Advanced,Certificate,1-2 Weeks,False
92,20,2.61,52,Skill5,Advanced,Certificate,1-2 Months,True
45,37,3.6,2,Skill46,Intermediate,Certificate,1-2 Months,True
72,9,4.16,72,Skill38,Beginner,Certificate,2-4 Weeks,False
3,16,1.23,4,Skill16,Advanced,Certificate,3-6 Months,True
60,26,3.24,96,Skill39,Beginner,None,1-2 Months,False
14,8,4.51,74,Skill42,Advanced,Certificate,2-4 Weeks,True
18,11,3.1,22,Skill16,Beginner,None,1-2 Weeks,True
70,26,3.22,35,Skill19,Beginner,None,1-2 Months,True
63,16,3.1,70,Skill3,Intermediate,Certificate,2-4 Weeks,False
20,29,1.85,33,Skill25,Beginner,Certificate,1-2 Weeks,False
52,16,1.75,11,Skill20,Advanced,None,1-2 Months,True
24,22,2.39,46,Skill37,Intermediate,Certificate,2-4 Weeks,False
36,2,4.25,11,Skill34,Beginner,None,2-4 Weeks,True
92,4,2.95,51,Skill29,Advanced,Certificate,1-2 Months,True
4,3,1.91,73,Skill2,Beginner,Certificate,3-6 Months,True
2,23,1.99,96,Skill34,Beginner,None,2-4 Weeks,True
69,6,2.44,11,Skill41,Advanced,None,2-4 Weeks,True
68,41,4.94,49,Skill41,Beginner,None,2-4 Weeks,False
13,38,2.94,22,Skill29,Intermediate,Certificate,2-4 Weeks,True
96,36,1.67,34,Skill18,Beginner,None,2-4 Weeks,False
60,30,2.17,73,Skill47,Intermediate,Certificate,2-4 Weeks,True
51,19,4.8,27,Skill18,Beginner,None,1-2 Weeks,True
51,4,2.94,14,Skill20,Advanced,None,3-6 Months,False
13,37,1.97,46,Skill3,Beginner,Certificate,1-2 Months,False
34,44,3.05,99,Skill36,Beginner,Certificate,3-6 Months,True
96,14,3.09,26,Skill34,Advanced,None,3-6 Months,False
70,17,2.48,84,Skill37,Intermediate,Certificate,2-4 Weeks,True
34,39,2.22,44,Skill48,Intermediate,None,1-2 Months,True
32,38,4.93,92,Skill40,Intermediate,None,1-2 Weeks,True
96,8,2.61,20,Skill46,Beginner,Certificate,3-6 Months,True
31,50,3.55,86,Skill9,Advanced,Certificate,3-6 Months,False
